Type,Date,Album,No,Name
album,2011.09.07,Re꞉Pray,001,Re꞉pray
album,2011.09.07,六等星の夜,001,六等星の夜
album,2011.09.07,Re꞉Pray,002,寂しくて眠れない夜は
album,2011.09.07,六等星の夜,002,悲しみはオーロラに
album,2011.09.07,Re꞉Pray,003,Poker Face
album,2011.09.07,六等星の夜,003,TWINKLE TWINKLE LITTLE STAR
album,2012.02.22,雪の降る街,001,雪の降る街
album,2012.02.22,雪の降る街,002,冬のダイヤモンド
album,2012.02.22,雪の降る街,003,ORION
album,2012.08.15,あのたにで会わなければ,001,あなたに出会わなければ~夏雪冬花~
album,2012.08.15,あのたにで会わなければ,002,星屑ビーナス
album,2012.08.15,あのたにで会わなければ,003,Breaking Up Is Hard To Do
album,2012.10.03,Sleepless Nights,001,TWINKLE TWINKLE LITTLE STAR-prologue-
album,2012.10.03,Sleepless Nights,002,夜行列车~nothing to lose~
album,2012.10.03,Sleepless Nights,003,あなたに出会わなければ~夏雪冬花~
album,2012.10.03,Sleepless Nights,004,笑颜
album,2012.10.03,Sleepless Nights,005,Re꞉pray
album,2012.10.03,Sleepless Nights,006,悲しみはオーロラに(Restarred by Takagi Masakatsu)
album,2012.10.03,Sleepless Nights,007,寂しくて眠れない夜は
album,2012.10.03,Sleepless Nights,008,AM02꞉00
album,2012.10.03,Sleepless Nights,009,星屑ビーナス
album,2012.10.03,Sleepless Nights,010,雪の降る街
album,2012.10.03,Sleepless Nights,011,冬のダイヤモンド(Re-echoed by Genki Rockets)
album,2012.10.03,Sleepless Nights,012,六等星の夜
album,2012.10.03,Sleepless Nights,013,TWINKLE TWINKLE LITTLE STAR
album,2012.12.12,Bitter & Sweet,001,リフレインが叫んでる
album,2012.12.12,Bitter & Sweet,002,L-O-V-E
album,2012.12.12,Bitter & Sweet,003,Poker Face
album,2012.12.12,Bitter & Sweet,004,三日月
album,2012.12.12,Bitter & Sweet,005,viva la vida
album,2012.12.12,Bitter & Sweet,006,また君に恋してる
album,2012.12.12,Bitter & Sweet,007,强く儚い者たち
album,2012.12.12,Bitter & Sweet,008,Calendar Girl
album,2012.12.12,Bitter & Sweet,009,今宵の月のように
album,2012.12.12,Bitter & Sweet,010,Baby Love
album,2012.12.12,Bitter & Sweet,011,Crazy in Love
album,2012.12.12,Bitter & Sweet,012,Precious
album,2012.12.12,Bitter & Sweet,013,Breaking Up Is Hard To Do
