Type,Date,Album,No,Name
album,2018.06.06,Do me a favor,001,DISTANCE
album,2018.06.06,Do me a favor,002,未完成ガール
album,2018.06.06,Do me a favor,003,Good Night
album,2018.06.06,Do me a favor,004,光の方へ(鈴木愛理×赤い公園)
album,2018.06.06,Do me a favor,005,Be Your Love
album,2018.06.06,Do me a favor,006,STORY(鈴木愛理×SCANDAL)
album,2018.06.06,Do me a favor,007,Moment
album,2018.06.06,Do me a favor,008,君の好きなひと
album,2018.06.06,Do me a favor,009,たぶんね、
album,2018.06.06,Do me a favor,010,いいんじゃない
album,2018.06.06,Do me a favor,011,perfect timing
album,2018.06.06,Do me a favor,012,Candy Box
album,2018.06.06,Do me a favor,013,私のそばで
album,2018.06.06,Do me a favor,014,#DMAF(鈴木愛理×SPICY CHOCOLATE)
album,2018.06.06,Do me a favor,015,start again
album,2019.09.04,Escape(Special Edition),001,Escape
album,2019.09.04,Escape(Special Edition),002,IDENTITY
album,2019.09.04,Escape(Special Edition),003,DAYLIGHT
album,2019.09.04,Escape(Special Edition),004,THE BRAND NEW LOOK
album,2019.12.18,i,001,Break it down
album,2019.12.18,i,002,Dissolution
album,2019.12.18,i,003,Escape
album,2019.12.18,i,004,ハナウタ
album,2019.12.18,i,005,STRONGER
album,2019.12.18,i,006,気まぐれ
album,2019.12.18,i,007,TRICK
album,2019.12.18,i,008,IDENTITY
album,2019.12.18,i,009,BYE BYE
album,2019.12.18,i,010,別の人の彼女になったよ
album,2019.12.18,i,011,パラレルデート
album,2019.12.18,i,012,私の右側 (宅録うた version)
album,2022.02.02,26 ⁄ 27,001,ハイビート気分
album,2022.02.02,26 ⁄ 27,002,Be Brave
album,2022.02.02,26 ⁄ 27,003,rescue
album,2022.02.02,26 ⁄ 27,004,噂のホクロ
album,2022.02.02,26 ⁄ 27,005,見る目ないなぁ
album,2022.02.02,26 ⁄ 27,006,きみにだけ人見知り (Home Demo ver.)
album,2022.02.02,26 ⁄ 27,007,Apple Pie
album,2022.02.02,26 ⁄ 27,008,Let The Show Begin
album,2022.02.02,26 ⁄ 27,009,BABY!WE CAN DO IT!
album,2022.02.02,26 ⁄ 27,010,真夜中のメリーゴーランド
album,2022.02.02,26 ⁄ 27,011,笑顔
album,2022.02.02,26 ⁄ 27,012,Easy To Smile
album,2022.02.02,26 ⁄ 27,013,この星のキセキ
album,2022.02.02,26 ⁄ 27,014,光 (Live at Nippon Budokan 2021.10.13)
album,2024.03.20,28／29,001,最強の推し！
album,2024.03.20,28／29,002,ハートはお手上げ
album,2024.03.20,28／29,003,heart notes
album,2024.03.20,28／29,004,ONE DAY
album,2024.03.20,28／29,005,shampoo (春野 Remix) (feat.鈴木 愛理)
album,2024.03.20,28／29,006,恋におちたら (feat.空音 & ☆Taku Takahashi)
album,2024.03.20,28／29,007,Pink Shadow (28-29 Ver.)
album,2024.03.20,28／29,008,空は二度燃える (28-29 Ver.) (feat.鈴木 愛理)
album,2024.03.20,28／29,009,平等なメロディ
album,2024.03.20,28／29,010,光
single,2021.04.02,-,-,DADDY! DADDY! DO! feat. 鈴木愛理
live,2018.12.04,-,-,Parallel Date 2018 Tour LIve
live,2019.06.16,-,-,Escape
live,2019.12.21,-,-,No Live No Life-1
live,2023.01.19,-,-,No Live No Life-2
live,2023.06.11,-,-,ココロノオトヲ
live,2023.12.17,-,-,No Live No Life-3
live,2024.10.13,-,-,No Live No Life-EX ～未完ガラクタカプセル
live,-,-,-,Do me a favor-武道馆-Live
live,-,-,-,鈴木愛理バ一スデ一イベント2024第7回あいりまにあ
live,-,-,-,铃木爱理 武道馆演唱会2021 ~26-27~_P1_Suzuki Airi LIVE 2021 ~26-27~ 演唱会
