Type,Date,Album,No,Name
album,2021.01.06,THE BOOK,001,Epilogue
album,2021.01.06,THE BOOK,002,アンコール
album,2021.01.06,THE BOOK,003,ハルジオン
album,2021.01.06,THE BOOK,004,あの夢をなぞって
album,2021.01.06,THE BOOK,005,たぶん
album,2021.01.06,THE BOOK,006,群青
album,2021.01.06,THE BOOK,007,ハルカ
album,2021.01.06,THE BOOK,008,夜に駆ける
album,2021.01.06,THE BOOK,009,Prologue
album,2021.11.12,E-SIDE,001,Into The Night
album,2021.11.12,E-SIDE,002,Haven't
album,2021.11.12,E-SIDE,003,Monster
album,2021.11.12,E-SIDE,004,Comet
album,2021.11.12,E-SIDE,005,RGB
album,2021.11.12,E-SIDE,006,Encore
album,2021.11.12,E-SIDE,007,Blue
album,2021.11.12,E-SIDE,008,Tracing A Dream
album,2021.12.01,THE BOOK2,001,ツバメ (feat. ミドリーズ)
album,2021.12.01,THE BOOK2,002,三原色
album,2021.12.01,THE BOOK2,003,大正浪漫
album,2021.12.01,THE BOOK2,004,もう少しだけ
album,2021.12.01,THE BOOK2,005,優しい彗星
album,2021.12.01,THE BOOK2,006,怪物
album,2021.12.01,THE BOOK2,007,もしも命が描けたら
album,2021.12.01,THE BOOK2,008,ラブレター
album,2022.11.18,E-SIDE 2,001,The Blessing
album,2022.11.18,E-SIDE 2,002,If I Could Draw Life
album,2022.11.18,E-SIDE 2,003,Romance
album,2022.11.18,E-SIDE 2,004,The Swallow (feat. Midories)
album,2022.11.18,E-SIDE 2,005,Halzion
album,2022.11.18,E-SIDE 2,006,Just a Little Step
album,2022.11.18,E-SIDE 2,007,Haruka
album,2022.11.18,E-SIDE 2,008,Love Letter
album,2023.05.10,はじめてのEP,001,セブンティーン
album,2023.05.10,はじめてのEP,002,海のまにまに
album,2023.05.10,はじめてのEP,003,好きだ
album,2023.05.10,はじめてのEP,004,ミスター
album,2023.10.04,THE BOOK 3,001,勇者
album,2023.10.04,THE BOOK 3,002,Interlude Awakening
album,2023.10.04,THE BOOK 3,003,祝福
album,2023.10.04,THE BOOK 3,004,海のまにまに
album,2023.10.04,THE BOOK 3,005,ミスター
album,2023.10.04,THE BOOK 3,006,Interlude Worship
album,2023.10.04,THE BOOK 3,007,アイドル
album,2023.10.04,THE BOOK 3,008,セブンティーン
album,2023.10.04,THE BOOK 3,009,アドベンチャー
album,2023.10.04,THE BOOK 3,010,好きだ
single,2023.09.29,-,-,The Brave
single,2023.11.18,-,-,Biri-Biri
single,2023.11.18,-,-,Biri-Biri (English Version)
single,2023.12.26,-,-,HEART BEAT
live,2021.02.14,-,-,KEEP OUT THEATER
live,2021.07.04,-,-,SING YOUR WORLD
live,2021.12.05,-,-,NICE TO MEET YOU
live,2023.06.04,-,-,電光石火
