Type,Date,Album,No,Name
album,2019.03.06,inside you,001,inside you
album,2019.03.06,inside you,002,Again and Again
album,2019.03.06,inside you,003,Waterfall
album,2019.03.06,inside you,004,I Gotta Go
album,2019.05.15,Wonderland,001,Wonderland
album,2019.05.15,Wonderland,002,Runway
album,2019.05.15,Wonderland,003,Koukaizenya
album,2019.05.15,Wonderland,004,Undone
album,2019.05.15,Wonderland,005,THE SHOW
album,2019.08.21,us,001,us
album,2019.08.21,us,002,Diving Board
album,2019.08.21,us,003,Rewrite
album,2019.08.21,us,004,Fire Arrow
album,2019.11.06,Drown  You & I,001,Drown
album,2019.11.06,Drown  You & I,002,You & I
album,2019.11.06,Drown  You & I,003,Fine Line
album,2019.11.06,Drown  You & I,004,Imaginary Love
album,2020.02.19,Prover  Tell me,001,Prover
album,2020.02.19,Prover  Tell me,002,Tell me
album,2020.02.19,Prover  Tell me,003,Your Light
album,2020.02.19,Prover  Tell me,004,Red Neon
album,2020.06.03,eyes,001,Again and Again
album,2020.06.03,eyes,002,Parachute
album,2020.06.03,eyes,003,航海前夜
album,2020.06.03,eyes,004,Somebody
album,2020.06.03,eyes,005,Inside You
album,2020.06.03,eyes,006,Drown
album,2020.06.03,eyes,007,You & I
album,2020.06.03,eyes,008,Grab the air
album,2020.06.03,eyes,009,STAY
album,2020.06.03,eyes,010,Dome
album,2020.06.03,eyes,011,Tell me
album,2020.06.03,eyes,012,Wonderland
album,2020.06.03,eyes,013,us
album,2020.06.03,eyes,014,Prover
album,2020.06.03,eyes,015,Until I Die
album,2020.06.03,eyes,016,Without Your Love
album,2020.06.03,eyes,017,Fire Arrow
album,2020.06.03,eyes,018,The Love We've Made
album,2020.12.02,Who I Am,001,Who I Am
album,2020.12.02,Who I Am,002,The Hardest
album,2020.12.02,Who I Am,003,One Touch
album,2020.12.02,Who I Am,004,Ashes
album,2020.12.02,Who I Am,005,Grab the air -Reprise- Remixed by Masayuki Nakano
album,2021.08.04,Ordinary days,001,Ordinary days
album,2021.08.04,Ordinary days,002,Time Is On Our Side
album,2021.08.04,Ordinary days,003,Castle
album,2021.08.04,Ordinary days,004,Hit the Lights
album,2022.01.19,visions,001,SEVENTH HEAVEN
album,2022.01.19,visions,002,Fly High
album,2022.01.19,visions,003,Outsider
album,2022.01.19,visions,004,checkmate
album,2022.01.19,visions,005,Who I Am
album,2022.01.19,visions,006,Loved By You
album,2022.01.19,visions,007,On the Edge
album,2022.01.19,visions,008,Shed a light
album,2022.01.19,visions,009,Kaikou
album,2022.01.19,visions,010,jam
album,2022.01.19,visions,011,Come Here (Session1)
album,2022.01.19,visions,012,The Hardest
album,2022.01.19,visions,013,Wake Me Up
album,2022.01.19,visions,014,Ordinary days
album,2022.01.19,visions,015,One Reason
album,2022.05.25,Walkin’ In My Lane,001,Walkin' In My Lane
album,2022.05.25,Walkin’ In My Lane,002,Love When I Cry
album,2022.05.25,Walkin’ In My Lane,003,My Dreams Are Made of Hell
album,2022.08.17,Always You,001,Always You
album,2022.08.17,Always You,002,Clan
album,2022.08.17,Always You,003,Into the Mirror
album,2022.12.07,milet live tour visions 2022,001,Outsider
album,2022.12.07,milet live tour visions 2022,002,Fine Line
album,2022.12.07,milet live tour visions 2022,003,Wake Me Up
album,2022.12.07,milet live tour visions 2022,004,Fly High
album,2022.12.07,milet live tour visions 2022,005,inside you
album,2022.12.07,milet live tour visions 2022,006,Come Here (Session 1)
album,2022.12.07,milet live tour visions 2022,007,Loved By You
album,2022.12.07,milet live tour visions 2022,008,Ashes
album,2022.12.07,milet live tour visions 2022,009,The Hardest
album,2022.12.07,milet live tour visions 2022,010,Flare
album,2022.12.07,milet live tour visions 2022,011,Shed a light
album,2022.12.07,milet live tour visions 2022,012,邂逅
album,2022.12.07,milet live tour visions 2022,013,jam
album,2022.12.07,milet live tour visions 2022,014,SEVENTH HEAVEN
album,2022.12.07,milet live tour visions 2022,015,Time Is On Our Side
album,2022.12.07,milet live tour visions 2022,016,One Reason
album,2022.12.07,milet live tour visions 2022,017,us
album,2022.12.07,milet live tour visions 2022,018,Before the Dawn
album,2022.12.07,milet live tour visions 2022,019,Ordinary days
album,2023.03.08,milet 3rd anniversary live INTO THE MIRROR,001,us
album,2023.03.08,milet 3rd anniversary live INTO THE MIRROR,002,SEVENTH HEAVEN
album,2023.03.08,milet 3rd anniversary live INTO THE MIRROR,003,Flare
album,2023.03.08,milet 3rd anniversary live INTO THE MIRROR,004,Who I Am
album,2023.03.08,milet 3rd anniversary live INTO THE MIRROR,005,Fly High
album,2023.03.08,milet 3rd anniversary live INTO THE MIRROR,006,Ordinary days
album,2023.03.08,milet 3rd anniversary live INTO THE MIRROR,007,Castle
album,2023.03.08,milet 3rd anniversary live INTO THE MIRROR,008,Love When I Cry
album,2023.03.08,milet 3rd anniversary live INTO THE MIRROR,009,My Dreams Are Made of Hell
album,2023.03.08,milet 3rd anniversary live INTO THE MIRROR,010,Until I Die
album,2023.03.08,milet 3rd anniversary live INTO THE MIRROR,011,Drown
album,2023.03.08,milet 3rd anniversary live INTO THE MIRROR,012,Into the Mirror
album,2023.03.08,milet 3rd anniversary live INTO THE MIRROR,013,Again and Again
album,2023.03.08,milet 3rd anniversary live INTO THE MIRROR,014,Walkin' In My Lane
album,2023.03.08,milet 3rd anniversary live INTO THE MIRROR,015,Your Light
album,2023.03.08,milet 3rd anniversary live INTO THE MIRROR,016,Diving Board
album,2023.03.08,milet 3rd anniversary live INTO THE MIRROR,017,You & I
album,2023.03.08,milet 3rd anniversary live INTO THE MIRROR,018,inside you
album,2023.03.08,milet 3rd anniversary live INTO THE MIRROR,019,Rewrite
album,2023.08.30,5am,001,Clan (5am mix)
album,2023.08.30,5am,002,コイコガレ
album,2023.08.30,5am,003,Living My Life
album,2023.08.30,5am,004,Noёl In July
album,2023.08.30,5am,005,b r o k e n
album,2023.08.30,5am,006,Before the Dawn
album,2023.08.30,5am,007,Into the Mirror
album,2023.08.30,5am,008,Walkin' In My Lane
album,2023.08.30,5am,009,Hey Song
album,2023.08.30,5am,010,Flare
album,2023.08.30,5am,011,You made it
album,2023.08.30,5am,012,Always You (5am mix)
