Type,Date,Album,No,Name
album,2000.11.07,Jay,001,可爱女人
album,2000.11.07,Jay,002,完美主义
album,2000.11.07,Jay,003,星晴
album,2000.11.07,Jay,004,娘子
album,2000.11.07,Jay,005,斗牛
album,2000.11.07,Jay,006,黑色幽默
album,2000.11.07,Jay,007,伊斯坦堡
album,2000.11.07,Jay,008,印第安老斑鸠
album,2000.11.07,Jay,009,龙卷风
album,2000.11.07,Jay,010,反方向的钟
album,2001.09.14,范特西,001,爱在西元前
album,2001.09.14,范特西,002,爸我回来了
album,2001.09.14,范特西,003,简单爱
album,2001.09.14,范特西,004,忍者
album,2001.09.14,范特西,005,开不了口
album,2001.09.14,范特西,006,上海 一九四三
album,2001.09.14,范特西,007,对不起
album,2001.09.14,范特西,008,威廉古堡
album,2001.09.14,范特西,009,双截棍
album,2001.09.14,范特西,010,安静
album,2001.12.28,范特西PLUS,001,蜗牛
album,2001.12.28,范特西PLUS,002,你比从前快乐
album,2001.12.28,范特西PLUS,003,世界末日
album,2002.07.18,八度空间,001,半兽人
album,2002.07.18,八度空间,002,半岛铁盒
album,2002.07.18,八度空间,003,暗号
album,2002.07.18,八度空间,004,龙拳
album,2002.07.18,八度空间,005,火车叨位去
album,2002.07.18,八度空间,006,分裂(离开)
album,2002.07.18,八度空间,007,爷爷泡的茶
album,2002.07.18,八度空间,008,回到过去
album,2002.07.18,八度空间,009,米兰的小铁匠
album,2002.07.18,八度空间,010,最后的战役
album,2002.10.25,TheOne演唱会,001,双截棍(Live)
album,2002.10.25,TheOne演唱会,002,忍者(Live)
album,2002.10.25,TheOne演唱会,003,爷爷泡的茶(Live)
album,2002.10.25,TheOne演唱会,004,暗号(Live)
album,2002.10.25,TheOne演唱会,005,爱在西元前(Live)
album,2002.10.25,TheOne演唱会,006,半岛铁盒(Live)
album,2002.10.25,TheOne演唱会,007,回到过去(Live)
album,2002.10.25,TheOne演唱会,008,斗牛(Live)
album,2002.10.25,TheOne演唱会,009,分裂(Live)
album,2002.10.25,TheOne演唱会,010,安静(Live)
album,2002.10.25,TheOne演唱会,011,黑色幽默(Live)
album,2002.10.25,TheOne演唱会,012,找自己(Live)
album,2002.10.25,TheOne演唱会,013,龙卷风(Live)
album,2002.10.25,TheOne演唱会,014,星晴(Live)
album,2002.10.25,TheOne演唱会,015,龙拳(Live)
album,2002.10.25,TheOne演唱会,016,上海一九四三(Live)
album,2002.10.25,TheOne演唱会,017,你怎么连话都说不清楚(Live)
album,2002.10.25,TheOne演唱会,018,最后的战役(Live)
album,2002.10.25,TheOne演唱会,019,简单爱(Live)
album,2002.10.25,TheOne演唱会,020,开不了口(Live)
album,2003.07.31,叶惠美,001,以父之名
album,2003.07.31,叶惠美,002,懦夫
album,2003.07.31,叶惠美,003,晴天
album,2003.07.31,叶惠美,004,三年二班
album,2003.07.31,叶惠美,005,东风破
album,2003.07.31,叶惠美,006,你听得到
album,2003.07.31,叶惠美,007,同一种调调
album,2003.07.31,叶惠美,008,她的睫毛
album,2003.07.31,叶惠美,009,爱情悬崖
album,2003.07.31,叶惠美,010,梯田
album,2003.07.31,叶惠美,011,双刀
album,2003.11.13,寻找周杰伦,001,轨迹
album,2003.11.13,寻找周杰伦,002,断了的弦
album,2003.11.13,寻找周杰伦,003,轨迹 (伴奏)
album,2003.11.13,寻找周杰伦,004,断了的弦 (伴奏)
album,2004.08.03,七里香,001,我的地盘
album,2004.08.03,七里香,002,七里香
album,2004.08.03,七里香,003,借口
album,2004.08.03,七里香,004,外婆
album,2004.08.03,七里香,005,将军
album,2004.08.03,七里香,006,搁浅
album,2004.08.03,七里香,007,乱舞春秋
album,2004.08.03,七里香,008,困兽之斗
album,2004.08.03,七里香,009,园游会
album,2004.08.03,七里香,010,止战之殇
album,2005.01.20,周杰伦2004无与伦比演唱会,001,以父之名
album,2005.01.20,周杰伦2004无与伦比演唱会,002,止战之殇
album,2005.01.20,周杰伦2004无与伦比演唱会,003,她的睫毛
album,2005.01.20,周杰伦2004无与伦比演唱会,004,晴天
album,2005.01.20,周杰伦2004无与伦比演唱会,005,你听得到
album,2005.01.20,周杰伦2004无与伦比演唱会,006,梯田+爸我回来了
album,2005.01.20,周杰伦2004无与伦比演唱会,007,园游会
album,2005.01.20,周杰伦2004无与伦比演唱会,008,龙卷风
album,2005.01.20,周杰伦2004无与伦比演唱会,009,将军
