Type,Date,Album,No,Name
album,1998.01.28,Precious,001,My Little Lover Boy
album,1998.01.28,Precious,002,Lullaby
album,1998.01.28,Precious,003,How Ya Doin'
album,1998.01.28,Precious,004,I Don't Love You
album,1998.01.28,Precious,005,Promise
album,1998.01.28,Precious,006,Ticket 4 Two
album,1998.01.28,Precious,007,Take A Little While
album,1998.01.28,Precious,008,100 Reasons Why
album,1998.01.28,Precious,009,Work Things Out
album,1998.01.28,Precious,010,Close To You
album,1998.01.28,Precious,011,Precious Love
album,1998.01.28,Precious,012,How Ya Doin' (Rap Version)
album,1999.03.10,First Love,001,Automatic
album,1999.03.10,First Love,002,Movin' on without you
album,1999.03.10,First Love,003,In My Room
album,1999.03.10,First Love,004,First Love
album,1999.03.10,First Love,005,"甘いワナ ～Paint It, Black"
album,1999.03.10,First Love,006,time will tell
album,1999.03.10,First Love,007,Never Let Go
album,1999.03.10,First Love,008,B&C
album,1999.03.10,First Love,009,Another Chance
album,1999.03.10,First Love,010,Interlude
album,1999.03.10,First Love,011,Give Me A Reason
album,2001.03.28,Distance,001,Wait & See ～リスク～
album,2001.03.28,Distance,002,Can You Keep A Secret_
album,2001.03.28,Distance,003,DISTANCE
album,2001.03.28,Distance,004,サングラス
album,2001.03.28,Distance,005,ドラマ
album,2001.03.28,Distance,006,Eternally
album,2001.03.28,Distance,007,Addicted To You [UP IN-HEAVEN MIX]
album,2001.03.28,Distance,008,For You
album,2001.03.28,Distance,009,蹴っ飛ばせ！
album,2001.03.28,Distance,010,Parody
album,2001.03.28,Distance,011,タイム・リミット
album,2001.03.28,Distance,012,言葉にならない気持ち
album,2001.03.28,Distance,013,HAYATOCHI REMIX
album,2002.06.19,DEEP RIVER,001,SAKURAドロップス
album,2002.06.19,DEEP RIVER,002,traveling
album,2002.06.19,DEEP RIVER,003,幸せになろう
album,2002.06.19,DEEP RIVER,004,Deep River
album,2002.06.19,DEEP RIVER,005,Letters
album,2002.06.19,DEEP RIVER,006,プレイ・ボール
album,2002.06.19,DEEP RIVER,007,東京NIGHTS
album,2002.06.19,DEEP RIVER,008,A.S.A.P.
album,2002.06.19,DEEP RIVER,009,嘘みたいなI Love You
album,2002.06.19,DEEP RIVER,010,FINAL DISTANCE
album,2002.06.19,DEEP RIVER,011,Bridge (Interlude)
album,2002.06.19,DEEP RIVER,012,光
album,2002.06.19,DEEP RIVER,013,Simple And Clean
album,2004.03.31,Utada Hikaru SINGLE COLLECTION VOL.1,001,time will tell[-Alternate Version-]
album,2004.03.31,Utada Hikaru SINGLE COLLECTION VOL.1,002,Automatic
