Type,Date,Album,No,Name
album,2005.03.15,第1张,001,今生最爱
album,2005.03.15,第1张,002,爱的奇迹
album,2005.03.15,第1张,003,北斗星的爱
album,2005.03.15,第1张,004,最近的地方
album,2005.03.15,第1张,005,那年夏天
album,2005.03.15,第1张,006,你是所有
album,2005.03.15,第1张,007,幸福瞬间
album,2005.03.15,第1张,008,迷离
album,2005.03.15,第1张,009,平行线
album,2005.03.15,第1张,010,爱不说
album,2006.09.20,再爱我一回,001,风
album,2006.09.20,再爱我一回,002,再爱我一回
album,2006.09.20,再爱我一回,003,如果爱
album,2006.09.20,再爱我一回,004,你和我
album,2006.09.20,再爱我一回,005,为了遇见你
album,2006.09.20,再爱我一回,006,演唱会
album,2006.09.20,再爱我一回,007,我们的歌
album,2006.09.20,再爱我一回,008,你是特别的女孩
album,2006.09.20,再爱我一回,009,真的不能离开你
album,2006.09.20,再爱我一回,010,写下寂寞
album,2006.09.20,再爱我一回,011,友忆思
album,2006.09.20,再爱我一回,012,征途
album,2007.12.17,最美的太阳,001,最美的太阳
album,2007.12.17,最美的太阳,002,花手绢
album,2007.12.17,最美的太阳,003,I'm a Dreamer
album,2007.12.17,最美的太阳,004,消失
album,2008.09.15,明天过后,001,远走高飞
album,2008.09.15,明天过后,002,恒星流星
album,2008.09.15,明天过后,003,明天过后
album,2008.09.15,明天过后,004,我们都一样
album,2008.09.15,明天过后,005,天下
album,2008.09.15,明天过后,006,回忆的独奏
album,2008.09.15,明天过后,007,往事随风
album,2008.09.15,明天过后,008,留言
album,2008.09.15,明天过后,009,Cheer Up China
album,2008.09.15,明天过后,010,仰望星空
album,2009.11.02,穿越三部曲,001,看月亮爬上來
album,2009.11.02,穿越三部曲,002,穿越人海
album,2009.11.02,穿越三部曲,003,何必在一起
album,2009.11.02,穿越三部曲,004,微笑
album,2009.11.02,穿越三部曲,005,量身订做
album,2009.11.02,穿越三部曲,006,勿忘心安
album,2009.11.02,穿越三部曲,007,龙鳞
album,2010.11.21,这，就是爱,001,今生今世
album,2010.11.21,这，就是爱,002,最悲歌
album,2010.11.21,这，就是爱,003,女人到底想什么
album,2010.11.21,这，就是爱,004,这，就是爱
album,2010.11.21,这，就是爱,005,手中沙
album,2010.11.21,这，就是爱,006,青梅竹马
album,2010.11.21,这，就是爱,007,习惯了
album,2010.11.21,这，就是爱,008,一切都值得
album,2010.11.21,这，就是爱,009,包围
album,2010.11.21,这，就是爱,010,云中的Angel
album,2011.11.16,最接近天堂的地方,001,Marry Me
album,2011.11.16,最接近天堂的地方,002,第一夫人
album,2011.11.16,最接近天堂的地方,003,最接近天堂的地方
album,2011.11.16,最接近天堂的地方,004,火鸟
album,2011.11.16,最接近天堂的地方,005,对
album,2011.11.16,最接近天堂的地方,006,下一个自己
album,2011.11.16,最接近天堂的地方,007,让你依靠
album,2011.11.16,最接近天堂的地方,008,秋天的童话
album,2011.11.16,最接近天堂的地方,009,半透明的墙
album,2011.11.16,最接近天堂的地方,010,高飞
album,2012.09.29,One Chance新歌,001,One Chance
album,2012.09.29,One Chance新歌,002,勿忘心安
album,2012.09.29,One Chance新歌,003,明天过后
album,2012.09.29,One Chance新歌,004,恒星流星
album,2012.09.29,One Chance新歌,005,写下寂寞
album,2012.09.29,One Chance新歌,006,今生今世
album,2012.09.29,One Chance新歌,007,看月亮爬上来
album,2012.09.29,One Chance新歌,008,如果爱
album,2012.09.29,One Chance新歌,009,云中的Angel
album,2012.09.29,One Chance新歌,010,穿越人海
album,2012.09.29,One Chance新歌,011,这，就是爱
album,2012.09.29,One Chance新歌,012,逆战
album,2012.09.29,One Chance新歌,013,我们都一样
album,2012.09.29,One Chance新歌,014,风
album,2012.09.29,One Chance新歌,015,何必在一起
album,2012.09.29,One Chance新歌,016,再爱我一回
album,2012.09.29,One Chance新歌,017,天下
album,2012.09.29,One Chance新歌,018,流言有一千分贝
album,2012.09.29,One Chance新歌,019,你和我
