Type,Date,Album,No,Name
album,2003.02.24,Cyndi Begin,001,灰姑娘的眼泪
album,2003.02.24,Cyndi Begin,002,Beauty
album,2003.02.24,Cyndi Begin,003,当你
album,2003.02.24,Cyndi Begin,004,On My Way
album,2003.02.24,Cyndi Begin,005,我以为
album,2003.02.24,Cyndi Begin,006,Baby Baby Tell Me
album,2003.02.24,Cyndi Begin,007,非Soul-Mate
album,2003.02.24,Cyndi Begin,008,As Time Goes By
album,2003.02.24,Cyndi Begin,009,这...
album,2003.02.24,Cyndi Begin,010,幸福背后
album,2004.03.26,爱你,001,爱你
album,2004.03.26,爱你,002,月光
album,2004.03.26,爱你,003,明天见
album,2004.03.26,爱你,004,恋爱节奏
album,2004.03.26,爱你,005,糖罐子
album,2004.03.26,爱你,006,爱的套餐
album,2004.03.26,爱你,007,第一次爱的人
album,2004.03.26,爱你,008,抱着你哭
album,2004.03.26,爱你,009,心心相印
album,2004.03.26,爱你,010,羽毛
album,2005.01.01,天国的嫁衣电视原声带,001,花序
album,2005.01.01,天国的嫁衣电视原声带,002,爱情加油
album,2005.01.01,天国的嫁衣电视原声带,003,多一天爱一点
album,2005.01.01,天国的嫁衣电视原声带,004,子皓的豪门世界
album,2005.01.01,天国的嫁衣电视原声带,005,花的嫁纱
album,2005.01.01,天国的嫁衣电视原声带,006,回不去的记忆
album,2005.01.01,天国的嫁衣电视原声带,007,极速危险
album,2005.01.01,天国的嫁衣电视原声带,009,明明曾经是相爱的
album,2005.01.01,天国的嫁衣电视原声带,010,折磨
album,2005.01.01,天国的嫁衣电视原声带,011,牵挂
album,2005.01.01,天国的嫁衣电视原声带,012,爱的天国
album,2005.02.18,Honey,001,Honey
album,2005.02.18,Honey,002,翘翘板
album,2005.02.18,Honey,003,翅膀
album,2005.02.18,Honey,004,木马屠城记
album,2005.02.18,Honey,005,飞吧
album,2005.02.18,Honey,006,失恋歌迷党
album,2005.02.18,Honey,007,青春考卷
album,2005.02.18,Honey,008,爱的滑翔翼
album,2005.02.18,Honey,009,往幸福出发吧
album,2005.02.18,Honey,010,爱情城堡
album,2005.07.26,闪耀2005,001,DA DA DA
album,2005.07.26,闪耀2005,002,2005月光闪耀
album,2005.07.26,闪耀2005,003,Baby Baby Tell Me
album,2005.07.26,闪耀2005,004,爱你
album,2005.07.26,闪耀2005,005,Honey
album,2005.07.26,闪耀2005,006,当你
album,2005.07.26,闪耀2005,007,Beauty
album,2005.07.26,闪耀2005,008,翘翘板
album,2005.07.26,闪耀2005,009,爱的套餐
album,2005.07.26,闪耀2005,010,爱的滑翔翼
album,2005.07.26,闪耀2005,011,恋爱节奏
album,2005.07.26,闪耀2005,012,木马屠城记
album,2005.07.26,闪耀2005,013,非Soul-Mate
album,2005.07.26,闪耀2005,014,灰姑娘的眼泪（电音版）
album,2005.07.26,闪耀2005,015,这…
album,2005.07.26,闪耀2005,016,第一次爱的人
album,2005.07.26,闪耀2005,017,心心相印
album,2005.07.26,闪耀2005,018,失恋歌迷党
album,2005.07.26,闪耀2005,019,往幸福出发吧
album,2005.07.26,闪耀2005,020,爱你（电音版）
album,2005.12.27,Cyndi With U,001,睫毛弯弯
album,2005.12.27,Cyndi With U,002,打起精神来
album,2005.12.27,Cyndi With U,003,我会好好的
album,2005.12.27,Cyndi With U,004,Woosa Woosa
album,2005.12.27,Cyndi With U,005,手表
album,2005.12.27,Cyndi With U,006,想和你
album,2005.12.27,Cyndi With U,007,You are my only love
album,2005.12.27,Cyndi With U,008,太阳万岁
album,2005.12.27,Cyndi With U,009,丢铜板
album,2005.12.27,Cyndi With U,010,梦的光点
album,2006.01.01,微笑Pasta电视原声带,001,彩虹的微笑
album,2006.01.01,微笑Pasta电视原声带,002,北极星的眼泪
album,2006.01.01,微笑Pasta电视原声带,003,幸福快递
album,2006.01.01,微笑Pasta电视原声带,004,小乌龟
album,2006.01.01,微笑Pasta电视原声带,005,黄昏晓
album,2006.01.01,微笑Pasta电视原声带,006,爱的胜利
album,2006.01.01,微笑Pasta电视原声带,007,I Do
album,2006.01.01,微笑Pasta电视原声带,008,纪念
album,2006.01.01,微笑Pasta电视原声带,009,黄昏晓 伴奏
album,2006.01.01,微笑Pasta电视原声带,010,迷宫
album,2006.01.01,微笑Pasta电视原声带,011,零的领域
album,2006.01.01,微笑Pasta电视原声带,012,冲突与僵持
album,2006.01.01,微笑Pasta电视原声带,013,北极星的眼泪 吉他版
album,2006.01.01,微笑Pasta电视原声带,014,就微笑了
album,2007.04.30,Magic Cyndi,001,爱的天灵灵
album,2007.04.30,Magic Cyndi,002,那年夏天宁静的海
album,2007.04.30,Magic Cyndi,003,原來这才是真的你
album,2007.04.30,Magic Cyndi,004,火车快开
album,2007.04.30,Magic Cyndi,005,蝴蝶
album,2007.04.30,Magic Cyndi,006,我和你
album,2007.04.30,Magic Cyndi,007,爱上了就不得了
album,2007.04.30,Magic Cyndi,008,迷你电影
album,2007.04.30,Magic Cyndi,009,衣柜的秘密
album,2007.04.30,Magic Cyndi,010,约定
album,2007.11.30,Fly! Cyndi,001,飘飘
album,2007.11.30,Fly! Cyndi,002,热爱
album,2007.11.30,Fly! Cyndi,003,这就是爱
album,2007.11.30,Fly! Cyndi,004,瞬间
album,2007.11.30,Fly! Cyndi,005,双人舞
album,2007.11.30,Fly! Cyndi,006,日落前七分钟
album,2007.11.30,Fly! Cyndi,007,幸福神偷
album,2007.11.30,Fly! Cyndi,008,还是好朋友
album,2007.11.30,Fly! Cyndi,009,泡泡糖
album,2007.11.30,Fly! Cyndi,010,睁开眼
album,2008.02.29,Red Cyndi,001,Hi Hi Bye Bye
album,2008.02.29,Red Cyndi,002,因为是你
album,2008.02.29,Red Cyndi,003,水仙
album,2008.02.29,Red Cyndi,004,爱你
album,2008.02.29,Red Cyndi,005,Honey
album,2008.02.29,Red Cyndi,006,月光
album,2008.02.29,Red Cyndi,007,那年夏天宁静的海
album,2008.02.29,Red Cyndi,008,Woosa Woosa
album,2008.02.29,Red Cyndi,009,睫毛弯弯
album,2008.02.29,Red Cyndi,010,Da Da Da
album,2008.02.29,Red Cyndi,011,衣橱的秘密
album,2008.02.29,Red Cyndi,012,我会好好的
album,2008.02.29,Red Cyndi,013,灰姑娘的眼泪
album,2008.02.29,Red Cyndi,014,爱的天灵灵
album,2008.02.29,Red Cyndi,015,热爱
album,2008.02.29,Red Cyndi,016,这就是爱
album,2009.11.13,美丽的日子,001,美丽的日子
album,2009.11.13,美丽的日子,002,等
album,2009.11.13,美丽的日子,003,轻微
album,2009.11.13,美丽的日子,004,当你
album,2009.11.13,美丽的日子,005,On My Way
album,2009.11.13,美丽的日子,006,我以为
album,2009.11.13,美丽的日子,007,As Time Goes By
album,2009.11.13,美丽的日子,008,幸福背后
album,2009.11.13,美丽的日子,009,灰姑娘的眼泪
album,2009.11.13,美丽的日子,010,爱你
album,2009.11.13,美丽的日子,011,月光
album,2009.11.13,美丽的日子,012,明天见
album,2009.11.13,美丽的日子,013,第一次爱的人
album,2009.11.13,美丽的日子,014,抱着你哭
