Type,Date,Album,No,Name
album,1999.09.10,Jolin 1019,001,Because of You
album,1999.09.10,Jolin 1019,002,我知道你很难过
album,1999.09.10,Jolin 1019,003,猜想
album,1999.09.10,Jolin 1019,004,你是谁
album,1999.09.10,Jolin 1019,005,和世界作邻居
album,1999.09.10,Jolin 1019,006,上街
album,1999.09.10,Jolin 1019,007,怪我太年轻
album,1999.09.10,Jolin 1019,008,Good-bye
album,1999.09.10,Jolin 1019,009,空白
album,1999.09.10,Jolin 1019,010,The Rose
album,1999.09.10,Jolin 1019,011,The Rose(Kalaoke Version)
album,1999.09.10,Jolin 1019,012,我知道你很难过(伴唱版)
album,2000.04.26,Don't Stop,001,Don‘t Stop
album,2000.04.26,Don't Stop,002,你快乐吗
album,2000.04.26,Don't Stop,003,什么样的爱
album,2000.04.26,Don't Stop,004,You Gotta Know
album,2000.04.26,Don't Stop,005,永恒
album,2000.04.26,Don't Stop,006,嗨
album,2000.04.26,Don't Stop,007,孤单的人总说无所谓
album,2000.04.26,Don't Stop,008,飄浮
album,2000.04.26,Don't Stop,009,唱这首歌
album,2000.04.26,Don't Stop,010,Sugar Sugar
album,2000.12.22,Show Your Love,001,Show Your Love
album,2000.12.22,Show Your Love,002,快有爱
album,2000.12.22,Show Your Love,003,你还爱我吗
album,2000.12.22,Show Your Love,004,Baby Face
album,2000.12.22,Show Your Love,005,如果那天你说爱我
album,2000.12.22,Show Your Love,006,舍不得
album,2000.12.22,Show Your Love,007,爱上了一条街
album,2000.12.22,Show Your Love,008,Pretty Pretty Day
album,2000.12.22,Show Your Love,009,一眼就看見
album,2000.12.22,Show Your Love,010,感觉你的存在
album,2001.07.07,Lucky Number,001,Bridge Over Troubled Water
album,2001.07.07,Lucky Number,002,看紧我
album,2001.07.07,Lucky Number,003,Lucky Number
album,2001.07.07,Lucky Number,004,如果不想要
album,2001.07.07,Lucky Number,005,捕手
album,2001.07.07,Lucky Number,006,Take It Easy
album,2001.07.07,Lucky Number,007,只有一个你
album,2001.07.07,Lucky Number,008,你怎么连话都说不清楚
album,2001.07.07,Lucky Number,009,Surprise
album,2001.07.07,Lucky Number,010,由我
album,2002.04.02,电音舞道馆,001,Show Your Love(Remix)
album,2002.04.02,电音舞道馆,002,你怎么连话都说不清楚(Remix)
album,2002.04.02,电音舞道馆,003,漂浮(Remix)
album,2002.04.02,电音舞道馆,004,如果不想要(Remix)
album,2002.04.02,电音舞道馆,005,You Gotta Know(Remix)
album,2002.04.02,电音舞道馆,006,你快乐吗(Remix)
