Type,Date,Album,No,Name
album,2008.10.16,G.E.M,001,等一个他
album,2008.10.16,G.E.M,002,Where Did U Go
album,2008.10.16,G.E.M,003,回忆的沙漏
album,2008.10.16,G.E.M,004,爱现在的我
album,2008.10.16,G.E.M,005,睡公主
album,2009.10.27,18,001,ALL ABOUT U
album,2009.10.27,18,001,写不完的温柔
album,2009.10.27,18,002,GAME OVER
album,2009.10.27,18,003,想讲你知
album,2009.10.27,18,004,A.I.N.Y
album,2009.10.27,18,005,Mascara
album,2009.10.27,18,006,我不懂爱
album,2009.10.27,18,007,塞纳河
album,2009.10.27,18,008,意式恋爱
album,2009.10.27,18,009,G.E.M.(GET EVERYBODY MOVING)
album,2009.10.27,18,010,18
album,2009.10.27,18,011,Where Did U Go 2.0(Remix)
album,2009.10.27,18,012,Mascara(Glossy Version)
album,2010.10.29,My Secret,001,One Button
album,2010.10.29,My Secret,002,Good To Be Bad
album,2010.10.29,My Secret,003,Get Over You
album,2010.10.29,My Secret,004,美好的旧时光
album,2010.10.29,My Secret,005,寂寞星球的玫瑰
album,2010.10.29,My Secret,006,The Voice Within
album,2010.10.29,My Secret,007,我的秘密
album,2010.10.29,My Secret,008,末日
album,2010.10.29,My Secret,009,Twinkle II
album,2010.10.29,My Secret,010,Say it Loud
album,2012.07.05,Xposed,001,What Have U Done
album,2012.07.05,Xposed,002,下一秒
album,2012.07.05,Xposed,003,Sameday I'll Fly
album,2012.07.05,Xposed,004,泡沬
album,2012.07.05,Xposed,005,潜意式的残酷
album,2012.07.05,Xposed,006,Oh Boy
album,2012.07.05,Xposed,007,After Tonight
album,2012.07.05,Xposed,008,失真
album,2012.07.05,Xposed,009,奇迹
album,2012.07.05,Xposed,010,不存在的存在
album,2013.03.27,The Best of G.E.M. 2008-2012,001,A.I.N.Y.
album,2013.03.27,The Best of G.E.M. 2008-2012,002,Someday I'll Fly
album,2013.03.27,The Best of G.E.M. 2008-2012,003,All About U
album,2013.03.27,The Best of G.E.M. 2008-2012,004,泡沫
album,2013.03.27,The Best of G.E.M. 2008-2012,005,美好的旧时光
album,2013.03.27,The Best of G.E.M. 2008-2012,006,睡公主
album,2013.03.27,The Best of G.E.M. 2008-2012,007,情人 (Live）
album,2013.03.27,The Best of G.E.M. 2008-2012,008,回憶的沙漏
album,2013.03.27,The Best of G.E.M. 2008-2012,009,寂寞星球的玫瑰
album,2013.03.27,The Best of G.E.M. 2008-2012,010,Mascara
album,2013.03.27,The Best of G.E.M. 2008-2012,011,G.E.M. (Get Everybody Moving)
album,2013.03.27,The Best of G.E.M. 2008-2012,012,Where Did U Go 2.0 (Remix)
album,2013.03.27,The Best of G.E.M. 2008-2012,013,Where Did U Go
album,2013.03.27,The Best of G.E.M. 2008-2012,014,Get Over You
album,2013.03.27,The Best of G.E.M. 2008-2012,015,Good to be Bad
album,2013.03.27,The Best of G.E.M. 2008-2012,016,What Have U Done
album,2013.03.27,The Best of G.E.M. 2008-2012,017,想讲你知
album,2013.03.27,The Best of G.E.M. 2008-2012,018,我的秘密
album,2013.03.27,The Best of G.E.M. 2008-2012,019,奇迹
album,2013.03.27,The Best of G.E.M. 2008-2012,020,塞纳河
album,2013.03.27,The Best of G.E.M. 2008-2012,021,Oh Boy
album,2013.03.27,The Best of G.E.M. 2008-2012,022,Twinkle II
album,2013.03.27,The Best of G.E.M. 2008-2012,023,18
album,2013.03.27,The Best of G.E.M. 2008-2012,024,A.I.N.Y. (Live Piano Version)
album,2013.03.27,The Best of G.E.M. 2008-2012,025,你把我灌醉
album,2013.03.27,The Best of G.E.M. 2008-2012,026,奇迹(Acoustic Mix)
album,2015.11.06,新的心跳,001,多远都要在一起
album,2015.11.06,新的心跳,002,再见
album,2015.11.06,新的心跳,003,新的心跳
album,2015.11.06,新的心跳,004,来自天堂的魔鬼
album,2015.11.06,新的心跳,005,盲点
album,2015.11.06,新的心跳,006,单行的轨道
album,2015.11.06,新的心跳,007,一路逆风
album,2015.11.06,新的心跳,008,于是
album,2015.11.06,新的心跳,009,瞬间
album,2015.11.06,新的心跳,010,查克靠近
album,2016.09.30,25 LOOKS,001,再见 (Club Remix)
album,2016.09.30,25 LOOKS,002,多远都要在一起 (Dub Mix)
album,2016.09.30,25 LOOKS,003,泡沫 (PÀO MÒ Remix)
album,2016.09.30,25 LOOKS,004,瞬间 (Dance Remix)
album,2018.08.16,另一个童话,001,倒数
album,2018.08.16,另一个童话,002,错过不错
album,2018.08.16,另一个童话,003,另一个童话
album,2018.10.26,毒苹果,001,那一夜
album,2018.10.26,毒苹果,002,毒苹果
album,2018.10.26,毒苹果,003,突然之间
album,2018.12.14,睡皇后,001,岩石里的花
album,2018.12.14,睡皇后,002,WHY
album,2018.12.14,睡皇后,003,睡皇后
album,2019.12.27,摩天动物园,001,摩天动物园
album,2019.12.27,摩天动物园,002,Fly Away
album,2019.12.27,摩天动物园,003,透明
album,2019.12.27,摩天动物园,004,很久以后
album,2019.12.27,摩天动物园,005,Walk on Water
album,2019.12.27,摩天动物园,006,萤火
album,2019.12.27,摩天动物园,007,灰狼
album,2019.12.27,摩天动物园,008,差不多姑娘
album,2019.12.27,摩天动物园,009,好想好想你
album,2019.12.27,摩天动物园,010,别勉强
album,2019.12.27,摩天动物园,011,多美丽
album,2019.12.27,摩天动物园,012,句号
album,2019.12.27,摩天动物园,013,依然睡公主
album,2022.09.23,启示录,001,少年与海
album,2022.09.23,启示录,002,HELL
album,2022.09.23,启示录,003,只有我和你的地方
album,2022.09.23,启示录,004,你不是第一个离开的人
album,2022.09.23,启示录,005,不想回家
album,2022.09.23,启示录,006,冰河时代
album,2022.09.23,启示录,007,受难曲
album,2022.09.23,启示录,008,GLORIA
album,2022.09.23,启示录,009,老人与海
album,2022.09.23,启示录,010,FIND YOU
album,2022.09.23,启示录,011,离心力
album,2022.09.23,启示录,012,让世界暂停一分钟
album,2022.09.23,启示录,013,夜的尽头
album,2022.09.23,启示录,014,天空没有极限
album,2023.07.10,Revelacion,001,El Joven y El Mar
album,2023.07.10,Revelacion,002,Hell
album,2023.07.10,Revelacion,003,Me & You
album,2023.07.10,Revelacion,004,El Hombre que Ríe
album,2023.07.10,Revelacion,005,One More Night
album,2023.07.10,Revelacion,006,La Edad de Hielo
album,2023.07.10,Revelacion,007,Pasión
album,2023.07.10,Revelacion,008,Gloria
album,2023.07.10,Revelacion,009,El Viejo y El Mar
album,2023.07.10,Revelacion,010,Find You
album,2023.07.10,Revelacion,011,Fuerza Centrífuga
album,2023.07.10,Revelacion,012,Un Momento
album,2023.07.10,Revelacion,013,Yo Soy Eterno
album,2023.07.10,Revelacion,014,Mira Hacia El Cielo
album,2023.09.17,T.I.M.E.,001,情人
album,2023.09.17,T.I.M.E.,002,唯一
album,2023.09.17,T.I.M.E.,003,李香兰
album,2023.09.17,T.I.M.E.,004,11
album,2023.09.17,T.I.M.E.,005,你成为了谁的幸福
single,2012.11.28,-,-,无处不乐
single,2013.10.10,-,-,偶尔
